date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:23:49	107410/107410	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/test1.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/test1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/style.css)
06:23:51	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%221559302858%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/fonts/fontawesome-webfont3e6e.eot	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/font-awesome.min.css)
06:23:53	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%221559302858%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/fonts/fontawesome-webfont3e6e.woff2	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/font-awesome.min.css)
06:23:53	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%221559302858%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/fonts/fontawesome-webfont.eot?	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/fonts/fontawesome-webfontd41d.eot	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/font-awesome.min.css)
06:23:54	98024/98024	---M--	200	added ('OK')	font/woff	etag:%221559302858%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/fonts/fontawesome-webfont3e6e.woff	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/font-awesome.min.css)
06:23:55	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%221559302858%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/fonts/fontawesome-webfont3e6e.ttf	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/font-awesome.min.css)
06:23:56	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:23:59%20GMT	https://demo.w3layouts.com/images/W3Layouts-light.png	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/images/W3Layouts-light.html	(from https://demo.w3layouts.com/images/demobar_w3_4thDec2019.css)
06:23:57	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:%221559302858%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/fonts/fontawesome-webfont3e6e.svg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/font-awesome.min.css)
06:23:57	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:00%20GMT	https://demo.w3layouts.com/assets/css/fonts/linecons/css/linecons.css	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/css/fonts/linecons/css/linecons.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:23:58	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:00%20GMT	https://demo.w3layouts.com/assets/css/fonts/fontawesome/css/font-awesome.min.css	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/css/fonts/fontawesome/css/font-awesome.min.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:23:58	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:01%20GMT	https://demo.w3layouts.com/assets/css/bootstrap.css	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/css/bootstrap.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:23:59	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:01%20GMT	https://demo.w3layouts.com/assets/css/xenon-core.css	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/css/xenon-core.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:23:59	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:01%20GMT	https://demo.w3layouts.com/assets/css/xenon-forms.css	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/css/xenon-forms.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:23:59	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:01%20GMT	https://demo.w3layouts.com/assets/css/xenon-components.css	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/css/xenon-components.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:23:59	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:02%20GMT	https://demo.w3layouts.com/assets/css/xenon-skins.css	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/css/xenon-skins.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:24:00	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:02%20GMT	https://demo.w3layouts.com/assets/css/custom.css	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/css/custom.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:24:00	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:02%20GMT	https://demo.w3layouts.com/assets/js/jquery-1.11.1.min.js	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/js/jquery-1.11.1.min.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:24:00	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:02%20GMT	https://demo.w3layouts.com/assets/js/bootstrap.min.js	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/js/bootstrap.min.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:24:00	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:03%20GMT	https://demo.w3layouts.com/assets/js/TweenMax.min.js	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/js/TweenMax.min.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:24:00	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:03%20GMT	https://demo.w3layouts.com/assets/js/resizeable.js	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/js/resizeable.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:24:01	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:03%20GMT	https://demo.w3layouts.com/assets/js/joinable.js	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/js/joinable.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:24:01	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:03%20GMT	https://demo.w3layouts.com/assets/js/xenon-api.js	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/js/xenon-api.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:24:01	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:03%20GMT	https://demo.w3layouts.com/assets/js/xenon-toggles.js	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/js/xenon-toggles.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
06:24:01	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:24:04%20GMT	https://demo.w3layouts.com/assets/js/xenon-custom.js	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/assets/js/xenon-custom.html	(from https://demo.w3layouts.com/images/W3Layouts-light.png)
